id,designation,quantite,prix_achat,prix_vente,kg,valeur_cost,valeur_sale
2984,كيلو حديد 16,0,9.1,9.5,,0,0
2985,برة حديد 14,0,137,139.88,,0,0
2986,برة حديد 16,0,173.9,177.56,,0,0
2987,برة حديد 20,0,9.5,9.7,,0,0
2988,نقل كنطير,0,100,187.5,,0,0
2989,"متر بلاستيك 1,5 متر",20,8,11,,160,220
2990,متر بلاستيك 2 متر,20,9,11,,180,220
2991,TURBO SILENCE ديسكو كرانيت 350,0,760,1100,,0,0
2992,XCORT 1900W ديكاجور,0,1100,1505.26,,0,0
2993,"متر بلاستيك ابيض 1,5 2",40,15,18,,600,720
2994,MPC 125 MM ديسكو زليج,112,54.73,136.44,,6129.759999999999,15281.279999999999
2995,ficina 115mm ديسكو زليج,68,75,120,,5100,8160
2996,BOUKIR ديمندا اينوكس ممتازة,0,250,300,,0,0
2997,m CABLE RESEAU,32,6.2,7.5,,198.4,240
2998,فيبراسيون TOOLSUNEX 12V,0,600,900,,0,0
2999,مكينة زليج  خضراء 1.2 MBH,3,837,1100,,2511,3300
3000,بروكة 45 دهبية MBH,8,200,250,,1600,2000
3001,ليخة ممتازة 3000 ناشف,9,35,43.75,,315,393.75
3002,ليخة ممتازة 1500 ناشف,17,35.7,44.63,,606.9000000000001,758.71
3003,ليخة ممتازة 1000 ناشف,11,35,43.75,,385,481.25
3004,ليخة ممتازة 800 ناشف,259,38.91,54.73,,10077.689999999999,14175.07
3005,ليخة ممتازة 400 ناشف,251,38.91,54.73,,9766.41,13737.23
3006,DIAMOND LUX 1L,92,130,180,,11960,16560
3007,TOTAL 1300W ديكاجور,0,950,1300,,0,0
3008,TOTAL 1500W ديكاجور,0,800,1050,,0,0
3009,لافبو ممتاز اسود piano,0,2300,2600,,0,0
3010,ferri لافابو اسود ممتاز,1,1700,2000,,1700,2000
3011,EURO DIAMANT PLUS 180MM ديسكو كرانيط,0,193.8,255,,0,0
3012,rubi 1200 خلاط متوسط,5,1200,1500,,6000,7500
3013,فنطرو طرابو 15 سنتيم,40,15,65,,600,2600
3014,طوبو كولا PVC M40 125ml,1,13,16.25,,13,16.25
3015,سيليكون OLIVE ONE 001 NOIR,0,55,70,,0,0
3016,سيليكون OLIVE 9069,0,70,95,,0,0
3017,سيليكون OLIVE MS TURBO PENOSIL,2,65,85,,130,170
3018,مكينة زليج 1.2 FALANS,0,1300,1625,,0,0
3019,peygran 5mm 500pcs زائد,0,90,150,,0,0
3020,peygran 4mm 400pcs زائد,0,50,90,,0,0
3021,بونجة عادية,65,1,2.82,,65,183.29999999999998
3022,لريزين 5 لتر,11,150,187.5,,1650,2062.5
3023,CAT 750W لامون صغير,51,391.5,650,,19966.5,33150
3024,CHROME بروفيل ليد,0,70,85,,0,0
3025,RAVENA 60*9 شيفون دهبي,12,418,522.5,,5016,6270
3026,(60) ليخة الحك 225,0,8,11,,0,0
3027,sanili 50*45 inox لافابو,0,520,780,,0,0
3028,(80) 225 ليخة الحك,0,8,11.76,,0,0
3029,(100) 225 ليخة الحك,0,8,11.76,,0,0
3030,برودوي  DAC 5L (تنضيف الزليج و جوان ),9,180,230,,1620,2070
3031,برودوي Jontec futur 5L (تنضيف الرخام ),13,170,250,,2210,3250
3032,reservoir minibross,2,330,450,,660,900
3033,ميني بروس gris petit,2,5700,7000,,11400,14000
3034,برودوي TASKI calcacid 5L (تنضيف الاسمنت على الزليج ),0,160,200,,0,0
3035,SPOT PL 01,0,13,18,,0,0
3036,SPOT PL 05,0,15,18,,0,0
3037,SPOT PL 07,0,15,18,,0,0
3038,SPOT PL 09,0,16.5,20,,0,0
3039,SPOT PL 16,0,16.5,20,,0,0
3040,ATLAS ANTIROUILE gris 5KG حدادة,3,125,135,,375,405
3041,ماصية اطلس mastic cellulosique atlas 1kg,8,28,35,,224,280
3042,كراطة ممتازة vedal 50cm,42,38.8,50,,1629.6,2100
3043,كراطة ممتازة vedal 35cm,50,36.52,45,,1826.0000000000002,2250
3044,بلينات 42,3,56.09,82.09,,168.27,246.27
3045,dani كوشية لندوي  22,23,12.75,18,,293.25,414
3046,dani 20 كوشية لندوي,15,10,14.12,,150,211.79999999999998
3047,pego 20 كوشية لندوي,0,12.75,18,,0,0
3048,ATLAS Leader Mat 1kg,3,27,35,,81,105
3049,ATLAS SURFACEUR 1KG,0,36,40,,0,0
3050,250g اطلس شعاع دهبي,4,26,32,,104,128
3051,ATLAS AUTO 250G,2,13,15,,26,30
3052,ATLAS AUTO 85G,5,5.8,7,,29,35
3053,astral vernis v 704 1kg,0,62,70,,0,0
3054,vernis atlas T415N,0,37.5,45,,0,0
3055,SADVEL VERNIS 1L,1,42,48,,42,48
3056,INTER DOUBLE VA ET VIENT GRIS FONCE,10,28.93,36,,289.3,360
3057,INTER DOUBLE VA ET VIENT MARRON,10,28.93,36,,289.3,360
3058,INTER DOUBLE VA ET VIENT BLANC,20,28.93,36,,578.6,720
3059,SORTIE DE FIL GRIS FONCE,20,11,14,,220,280
3060,VILDA INOX DOUBLE لافابو,3,750,937.5,,2250,2812.5
3061,متر  كابلي 2.5 احمر (رولو100 متر ),435,3.54,3.63,,1539.9,1579.05
3062,بروكة دهبية 75,0,400,500,,0,0
3063,PERFIL FIRENZE R 12*10 ORO ROSA,32,80,110,,2560,3520
3064,ديكاجور Kzubr 1200W,0,700,950,,0,0
3065,لامون Kzubr 850W,0,230,350,,0,0
3066,fixation de سيبور مينيبروس inox,0,100,200,,0,0
3067,fixation de سيبور مينيبروس بلاستيك,18,180,250,,3240,4500
3068,ATTA SPOTA BLANC,0,6.5,25,,0,0
3069,ATTA SPOTA NOIR,0,6.5,25,,0,0
3070,tesa كانون,0,30,60,,0,0
3071,zete كانون,0,80,110,,0,0
3072,unimax لوبة باب,0,30,60,,0,0
3073,HIGH QUALITY بيزاكرة,9,10,20,,90,180
3074,vedal 200pcs 4mm زائد,2,12,30,,24,60
3075,vedal 200pcs 3mm زائد,4,11,30,,44,120
3076,vedal 200pcs 2mm زائد,175,10,30,,1750,5250
3077,facop CIRE SPECIALE STUC 1kg,6,66,80,,396,480
3078,atlas CIRE HYDROWAX 800ml,6,130,150,,780,900
3079,selsil pak برودوي زليج,0,18,35,,0,0
3080,بروفيل ليد اسود 1712,0,57,90,,0,0
3081,بروفيل ليد ابارون اسود 1سنتيم,0,54,75,,0,0
3082,بروفيل ليد 2سنتيم اسود,0,60,90,,0,0
3083,لقاط  كري كبير,4,17,50,,68,200
3084,لقاط كري صغير,0,17,35,,0,0
3085,INCCO 5KG مشوطة,0,288.75,400,,0,0
3086,INNCO 4KG مشوطة,0,246.75,350,,0,0
3087,SILENT DEKTON BLADE 400 ديسكو,0,850,1100,,0,0
3088,SILENT DEKTON BLADE 350 ديسكو,0,700,900,,0,0
3089,DEKTON BLADE 300 ديسكو,0,600,800,,0,0
3090,DINGI 3*19 ORANGE متر,1766,9.5,11.88,,16777,20980.08
3091,بروكة 35 dekton mpc,13,292.36,365.45,,3800.6800000000003,4750.849999999999
3092,شيفون 15*15 venus,10,170,218.57,,1700,2185.7
3093,بروكة مرمو بوش 10,1,44,55,,44,55
3094,INDEX (M8*80) PCS1 شوفي ميطال,212,4,7,,848,1484
3095,بكيط 180PCS SIMPLE MONOCAPA 3MM,27,4.44,5.01,,119.88000000000001,135.26999999999998
3096,بكيط قنت مونوكابا 5 ملم 50PCS,25,7,8,,175,200
3097,SELFDAN 15CM 10M رولو زفت,1,180,200,,180,200
3098,بلانة زليج 6*6 MAAN,0,40.8,60,,0,0
3099,شيفون 15*15 انوكس PML,0,88,130,,0,0
3100,شيفون 50*9 انوكس PML,0,148,250,,0,0
3101,شكارة GR 25KG,0,0,0,,0,0
3102,سباط 43 B-S shoes,1,160,200,,160,200
3103,سباط 42 B-S shoes ازرق,0,160,200,,0,0
3104,سباط 44 ARS,1,160,200,,160,200
3105,لباس الحماية ARS bleu,0,150,187.5,,0,0
3106,DIAGER مليطة بروكات ممتازة,0,1000,1300,,0,0
3107,كورديكس حديد ممتاز30 متر,0,56,80,,0,0
3108,METRICA متر 20,4,100,190,,400,760
3109,METRICA متر 50,3,270,350,,810,1050
3110,قلم بناء احمر,350,1.08,2.16,,378,756
3111,بلانة جبص come,0,71.4,100,,0,0
3112,بلانة زليج BELLOTA,1,81.6,120,,81.6,120
3113,MONTAGE BEIGE سيليكون,236,37.44,66,,8835.84,15576
3114,سيليكون ONE BOND FIX TRANSPARE,304,32.4,55,,9849.6,16720
3115,سيليكون ONE BOND FIX NOIR,130,32.4,40.5,,4212,5265
3116,سيليكون ONE BOND MS HYBRID TRANSPARENT,170,56.16,90,,9547.199999999999,15300
3117,سيليكون MULTI-USAGE QUARTZ,0,10,19.04,,0,0
3118,ديسكو منشار DEKTON 350 MPC 3mm,0,709.25,1200,,0,0
3119,ديسكو منشار DEKTON 350 MPC 2mm,41,709.25,1200,,29079.25,49200
3120,مكينة زليج 1.2 شبيه ب rubi,0,1950,2350,,0,0
3121,INGCO بانس 160ملم,10,45,70,,450,700
3122,INGCO طرنوفيس 6.5*125,15,9.75,15,,146.25,225
3123,POUBEL BLEU 60L,1,280,350,,280,350
3124,INGCO طرنوفيس 3*150,24,15.75,25,,378,600
3125,INGCO 2PCS48 طرنوفيس,4,18.75,30,,75,120
3126,INGCO 2PCS58 طرنوفيس,3,12.75,25,,38.25,75
3127,INGCO 4PCS طرنوفيس,9,36.75,55,,330.75,495
3128,INGCO 15FONCTIONS بانس,0,104.25,135,,0,0
3129,INGCO كورديكس 30متر,38,28.5,50,,1083,1900
3130,INGCO DETECTOR 12V طيستور,7,74.25,120,,519.75,840
3131,INGCO 600V طيستور,12,78.75,130,,945,1560
3132,INGCO 200LUMENS مصباح راس,7,74.25,120,,519.75,840
3133,jafep amouaj silver 2.5kg امواج,4,160,193.94,,640,775.76
3134,PUSSOIR ROND LUM LED 10215MR,13,26,28,,338,364
3135,INTER SIMPLE ALLUMAGE 10210MR,11,13.1,16,,144.1,176
3136,SORTIE DE FIL  20224MR,5,11.5,15,,57.5,75
3137,POUSSOIRE INVERSEUR RIDEUX 10227MR,2,37,43,,74,86
3138,INTER VA ETVIENT PRISE 2P 10217MR,9,22,26,,198,234
3139,PRISE DU COURANT 2P 20218MR,9,13.1,16,,117.89999999999999,144
3140,INTER DOUBLE VA ET VIENT 10213MR,8,29.5,35,,236,280
3141,INTER DOUBLE SIMPLE ALLUMAGE 10211MR,9,26,30,,234,270
3142,PRISE DU COURANT 2P+T 20219MR,13,17,20,,221,260
3143,شراط 0.5 ملم مدور,0,350,480,,0,0
3144,شراط حمام 1.5سنتيم مدور,0,500,625,,0,0
3145,BASILA 9*38 بروكة الهرم,0,100,180,,0,0
3146,simaflex حجر 60,9,70,80,,630,720
3147,universal olive trans سيليكون,0,20,25,,0,0
3148,شاليمو ازرق صغير BLOW TORCH,6,110,150,,660,900
3149,KENMAX 1050W لامون ريكلاج,0,360,500,,0,0
3150,VIBREUR KENMAX فيبراسيون صغير,0,600,750,,0,0
3151,تعمرة بوطة شاليمو,13,8.5,13,,110.5,169
3152,مليطة سوارت ممتاز DINGI,0,800,1000,,0,0
3153,MBH 12PCS مليطة بروكات,1,1500,1875,,1500,1875
3154,ديمندا 125 MPC 50,0,444.56,530,,0,0
3155,ديمندا 125 MPC 30,0,444.56,530,,0,0
3156,ديمندا نجمة 125 MPC 50,0,383.47,480,,0,0
3157,ديمندا نجمة 125 MPC 30,0,383.47,450,,0,0
3158,سيبور ليخة ممتاز MPC,0,44.96,56.2,,0,0
3159,ديسكو شنفراج MPC 115,323,33.57,67.27,,10843.11,21728.21
3160,تعمرة ملح MPC,2,25.45,80,,50.9,160
3161,ديسكو زليج MPC 180 blanc,24,123.02,220,,2952.48,5280
3162,ديسكو كرانيط 180 MPC blanc,127,131.5,150,,16700.5,19050
3163,ليخة ممتازة 100 MPC,0,43.27,65,,0,0
3164,ليخة ممتازة 50 MPC,0,43.27,54.09,,0,0
3165,طنط زيت ازرق,27,8.5,10.63,,229.5,287.01000000000005
3166,طنط زيت اصفر,7,8.5,10.63,,59.5,74.41000000000001
3167,طنط زيت احمر,30,8.5,10.63,,255,318.90000000000003
3168,طنط زيت مارو,13,8.5,10.63,,110.5,138.19
3169,طنط زيت اسود,14,8.5,10.63,,119,148.82000000000002
3170,ELECTRICITE سريرا,0,12500,14500,,0,0
3171,ITA 180MM ديسكو نجمة,0,160,200,,0,0
3172,ITA 180MM ديسكو كرانيط,0,160,200,,0,0
3173,ITA ليخة ممتاز50,0,40,50,,0,0
3174,ITA ليخة ممتاز400,0,40,50,,0,0
3175,ITA ليخة ممتاز800,0,40,50,,0,0
3176,ITA ليخة ممتاز3000,12,40,50,,480,600
3177,1.5m (37.5m2) m2 متر كرياج براس,0,12.27,16.14,,0,0
3178,2m (50m2) m2 متر كرياج براس,0,19,25,,0,0
3179,شيفون RHINO PVC 15*15,0,38,70,,0,0
3180,شيفون RHINO PVC 15*15 femelle,13,38,70,,494,910
3181,BOMAX 30 شيفون اسود,43,150,270,,6450,11610
3182,شيفون MESA 50,1,405,480,,405,480
3183,صباغة الماء دهبي VAG PEINT,0,27,35,,0,0
3184,poubelle noir 100L,0,383.2,500,,0,0
3185,poubelle slim rouge 20L,0,151.2,250,,0,0
3186,poubelle slim gris 60L,0,276,350,,0,0
3187,poubelle garage 360L vert,1,1476,1700,,1476,1700
3188,poubelle garage 240L bleu,1,864,1000,,864,1000
3189,poubelle garage 120L vert,0,576,750,,0,0
3190,poubelle garage 120L bleu,0,576,750,,0,0
3191,سلوم 8 درجات 2.23متر,0,360,500,,0,0
3192,سلوم 11 درجات 9.3متر,0,1842,2500,,0,0
3193,سلوم دوبل 6 درجات 1.26متر,0,636,850,,0,0
3194,SHIJING sipour grus + ميزان ليزر,8,1025,1200.04,,8200,9600.32
3195,SHIJING فيبراسيون كبير,0,950,1400,,0,0
3196,SHIJING فيبراسيون,7,980,1470,,6860,10290
3197,FICINA 180MM ديسكو كرانيط,8,130,180,,1040,1440
3198,METRE TUBR PVC (3m)100متر طوبو,45,17,25,,765,1125
3199,tec 7 trans سيليكون,45,102,128.75,,4590,5793.75
3200,CASQUE BLANC كاسك,47,19,34.1,,893,1602.7
3201,CASQUE BLEU كاسك,33,19.5,35,,643.5,1155
3203,CASQUE JAUNE كاسك,70,19,34.1,,1330,2387
3204,CASQUE ORANGE كاسك,29,19.5,35,,565.5,1015
3205,CASQUE ROUGE كاسك,38,19,35,,722,1330
3206,INGCO 2PCS V20 طوكلي+فيسوس باتري,1,1124.25,1600,,1124.25,1600
3207,INGCO 12V VISSEUSSE فيسوس,1,336.75,550,,336.75,550
3208,INGCO FOREUSE DIAMANT 2800W مكينة الحفر,0,2212.5,2765.63,,0,0
3209,INGCO 650W شنيور +هلتي,8,449.25,650,,3594,5200
3210,AKRO 09 بروشة,55,3.85,4.81,,211.75,264.54999999999995
3211,AKRO 15 بروشة,48,5.55,6.94,,266.4,333.12
3212,بروشة akro 12,61,4.79,5.88,,292.19,358.68
3213,بروشة akro 18,47,6.98,8.55,,328.06,401.85
3214,AKRO 21 بروشة,33,8.72,10.69,,287.76000000000005,352.77
3215,AKRO 24 بروشة,0,10.26,12.83,,0,0
3216,AKRO 27 بروشة,0,11.12,13.9,,0,0
3217,AKRO 30 بروشة,0,13.08,18,,0,0
3218,بروشة مدورة ازرق 8,22,10.47,12.83,,230.34,282.26
3219,بروشة مدورة ازرق 10,18,13.09,16.04,,235.62,288.71999999999997
3220,بروشة مدورة ازرق 12,9,26.16,32.06,,235.44,288.54
3221,بانس pinceau 6,0,2.48,4.5,,0,0
3222,بانس pinceau 8,0,2.74,5,,0,0
3223,بانس pinceau 10,7,2.99,5,,20.93,35
3224,بانس pinceau 12,3,3.42,5.5,,10.26,16.5
3225,بانس pinceau 14,1,3.85,6.5,,3.85,6.5
3226,بلانة PVC  akro,1,17.1,21.38,,17.1,21.38
3227,سباطولا بلاستيك ابيض 23سنتم akro 95885010,4,17.1,21.38,,68.4,85.52
3228,2*50m رولو بلاستيك akro,0,37.48,50,,0,0
3229,5*4m  akro بلاستيك,116,5.99,10,,694.84,1160
3230,بكية كوشية بلاستيك akro,0,7.7,10,,0,0
3231,طاسا صباغة حمراء akro,0,6.84,8.55,,0,0
3232,سطل صباغة 14 لتر akro,0,34.2,42.75,,0,0
3233,شبكة بلاستيك صباغة akro,0,5.99,7.49,,0,0
3234,BILT 70PCS شوفي 10,0,28,35,,0,0
3235,BILT 100PCS شوفي 8,0,19,25,,0,0
3236,بروكة مرمو بوش ممتازة 8,26,42.52,70,,1105.52,1820
3237,بروكة مرمو بوش ممتازة 10,4,49,75,,196,300
3238,بروكة مرمو بوش ممتازة 12,2,55,70,,110,140
3239,6*80بولون,218,0.54,1,,117.72000000000001,218
3240,6*60 بولون,487,0.42,1,,204.54,487
3241,6*50 بولون,623,0.39,0.9,,242.97,560.7
3242,6*40 بولون,417,0.32,0.9,,133.44,375.3
3243,6*30 بولون,577,0.29,0.93,,167.32999999999998,536.61
3244,6*20 بولون,979,0.26,0.8,,254.54000000000002,783.2
3245,8*70 بولون,108,0.83,1.5,,89.64,162
3246,8*80 بولون,287,0.89,1.5,,255.43,430.5
3247,8*40 بولون,142,0.58,1.22,,82.36,173.24
3248,8*50 بولون,175,0.66,1.1,,115.5,192.50000000000003
3249,8*30 بولون,613,0.52,1,,318.76,613
3250,8*20 بولون,408,0.42,1,,171.35999999999999,408
3251,10*100 بولون,122,1.93,2.6,,235.45999999999998,317.2
3252,10*70 بولون,162,1.32,2,,213.84,324
3253,10*60 بولون,215,1.19,1.8,,255.85,387
3254,10*50 بولون,319,1.08,1.5,,344.52000000000004,478.5
3255,10*40 بولون,77,0.97,1.5,,74.69,115.5
3256,10*25 بولون,24,0.79,1.3,,18.96,31.200000000000003
3257,RONDELLE 8*30 CASA,0,0.16,0.32,,0,0
3258,ERGO N13 طوكلي (1PCS),20,5,45,,100,900
3259,CORALLO كريفو,0,35,43.75,,0,0
3260,بروكة دهبية 35 cono,0,60,120,,0,0
3261,مسمار ساروت 8*40,0,0.6,0.8,,0,0
3262,lavabo celestone 50*40,0,700,1500,,0,0
3263,مكدي هلتي 14*300,0,30,60,,0,0
3264,بروكة هلتي 6 طويلة بوش,0,36,48,,0,0
3266,VELAR SDS 16*350 بروكة بيطون,0,31.6,60,,0,0
3267,total لباس الماء,-10,95,200,,-950,-2000
3268,ديسكو منشار الارض اسود 350,0,250,750,,0,0
3269,perfecta 200mm كوشية,0,12.5,20,,0,0
3270,GROHE mecanism,0,1430,1600,,0,0
3271,ركاب ركلة اينوكس,0,60,90,,0,0
3272,bosch inox 12 بروكة,2,35,0,,70,0
3273,bosch inox 10 بروكة,0,25,31.25,,0,0
3274,بومبا الماء DINGQI 900W,0,470,587.5,,0,0
3275,MECHE HILTI ASSIST 10*210,0,15,18.75,,0,0
3276,MECHE HILTI ASSIST 10*350,3,21,35,,63,105
3277,ASSIST ديسكو زليج 125,0,62,77.5,,0,0
3279,VIBREURE PROFISIONAL فيبراسيون بيطون,0,600,750,,0,0
3280,COMPLE سيبور جوان,0,480,650,,0,0
3281,TOTAL 20V فيسوس+شينيور,0,700,900,,0,0
3282,TOTAL 20V فيسوس,0,585,800,,0,0
3283,ميزان ليزر اصفر,0,600,750,,0,0
3284,LIDUO 5V ميزان ليزر,0,650,800,,0,0
3285,TORREWS 1200W خلاط احمر,0,800,950,,0,0
3286,ليخة كبيرة 180 TIGOR,59,3.77,5.1,,222.43,300.9
3287,TIGOR 400 ليخة صغيرة,57,2.5,3.13,,142.5,178.41
3289,SLIM CUTTER 2 RUBI مكينة,2,4900,6125,,9800,12250
3290,125 ديمندا عادية,9,75,93.75,,675,843.75
3291,BRAVEN CLEAR FIX سيليكون,0,60,80,,0,0
3292,مكينة زليج زرقاء و اسود 1.2 kh,1,720,900,,720,900
3293,مكينة زليج زرقاء ممتازة 1.2 kh,0,780,975,,0,0
3294,مكينة زليج تنين 1.2 kh,10,1800,2250,,18000,22500
3295,ملاسة كرانيطو BELLOTA,0,140,180,,0,0
3296,PLAQUE SIGNALISATION ATTENTION,0,78.75,120,,0,0
3297,كيلو شعر عادية,0,12,20,,0,0
3298,فشفاشة TOTAL 2L,0,40,50,,0,0
3299,RUBI POCHE GOULOTTE ردمة,1,550,750,,550,750
3300,RUBI GOULOTTE ردمة,1,870,1000,,870,1000
3301,ركلة ميزان 2متر,0,280,430,,0,0
3302,quita cementos 750ml,118,21.37,35,,2521.6600000000003,4130
3303,quita cementos 5L,28,128.25,160,,3591,4480
3304,متر كوما كرجوطة 32,50,3,5,,150,250
3305,بوطو احمر اسود,4,108,160,,432,640
3306,TOTAL POMPE ESANS بومبا,0,1850,2312.5,,0,0
3307,فيبراسيون بيطون +منكيطة,0,2000,2500,,0,0
3308,DANOSA FONODAN BG 10 M ISOLATION PHONIC,6,510,679.98,,3060,4079.88
3309,MBH فنطرو 115 روشكة,0,75,93.75,,0,0
3310,MBH 180 ديسكو كرانيط روشكة,4,200,250,,800,1000
3311,MBH 125 ديسكو كرانيط روشكة,4,140,175,,560,700
3312,MBH 36 ديمندا نجمة,36,125,156.25,,4500,5625
3313,MBH مثلث 1CM شراط حمام,9,300,375,,2700,3375
3314,MBH 230 ديسكو كرانيط,5,200,250,,1000,1250
3315,MBH 230ديسكو كرانيط روشكة,10,220,275,,2200,2750
3316,MBH SPECIAL ديسكو مرمو 180,0,300,375,,0,0
3317,SIMAFLEX N80 MBH ديسكو,0,60,75,,0,0
3318,MBH 180 ديسكو زليج  احمر,1,120,150,,120,150
3319,MBH 125 ديسكو زليج  احمر,0,60,75,,0,0
3320,MBH 180 فنطرو كبير,0,90,120,,0,0
3321,MBH 115 فنطرو صغير,0,60,80,,0,0
3322,peygran لقاط زليج ممتاز,6,205,250,,1230,1500
3323,SIKA LANKOSEC 321,139,19.44,25,,2702.1600000000003,3475
3324,نص كيلو ميطالون,0,15.64,19.55,,0,0
3325,SAINT-GOBAIN MULTI-USAGE NOIR,158,11.5,15.6,,1817,2464.7999999999997
3326,SIKA FLEX PRO 11FC BLANC سيليكون,24,62.21,80,,1493.04,1920
3327,WORKSITE ORANGE برويطة,50,270,450,,13500,22500
3328,لافابو اسود ممتاز 80*45,0,1250,1562.5,,0,0
3329,SPOT LED RH-DL36 36W,0,28,35,,0,0
3330,CAT 18V فيسوس+شينيور DX12 65NM,4,1950.75,2350,,7803,9400
3331,CAT 800W شينيور SDS DX26,0,790,1300,,0,0
3332,CAT 1500W SDS ديكاجور DX27,8,1619.25,2143.13,,12954,17145.04
3333,CAT 1100W ديكاجور DX28,8,1880.63,2400,,15045.04,19200
3334,CAT 1200W لامون متوسط,0,891,1100,,0,0
3335,CAT 18V 50NM فيسوس DX115.1,4,1120.5,1400.63,,4482,5602.52
3336,CAT 280*22 PLAT مكدي,1,41,65.8,,41,65.8
3337,CAT 280 PNT مكدي,0,36.45,55,,0,0
3338,CAT 450*22 PLAT مكدي,1,66.15,85,,66.15,85
3339,CAT 450 PNT مكدي,1,66.15,85,,66.15,85
3340,كرياج اخضر2.*2.50 متر,0,570,590,,0,0
3341,مصباح OTOMO 9W B22,28,4,12,,112,336
3342,مصباح OTOMO 9W E27,64,4,5,,256,320
3343,رالونش INGELEC 10m,5,120,140,,600,700
3344,FAYROUZ 20KG,0,1040,1100,,0,0
3345,LED 22W OPTIMAX,3,55,68.75,,165,206.25
3346,XL TOOLS 250 *30 رابور ديمندا  اسود,1,1100,1600,,1100,1600
3347,DIAMFLEX 180 BLEU DEKTON ديسكو,12,125,180,,1500,2160
3348,DIAMFLEX 180 ديسكو نجمة,87,140,175,,12180,15225
3349,DIAMFLEX 180 GRANIT NOIR ديسكو,254,125,156.25,,31750,39687.5
3350,DIAMFLEX 115 DEKTON ديسكو,18,45,80,,810,1440
3351,TING CHI 50*100 بروكة,0,60,150,,0,0
3352,TING CHI 50*60 بروكة,2,60,75,,120,150
3353,TING CHI 50*45 بروكة,7,60,75,,420,525
3354,بروكة شيفون 20*35*50,0,150,250,,0,0
3355,BASILA 3*75 بروكة الهرم,20,150,280,,3000,5600
3356,BASILA 9*50 بروكة الهرم,0,110,250,,0,0
3357,ديمندا 36 مثلث,0,180,187.5,,0,0
3358,INOX سيبور شنفراج احمر,0,120,150,,0,0
3359,بلاكا ديكور jardin,2,60,75,,120,150
3360,MIXER كولا سوداء,0,0,0,,0,0
3361,فشفاشة صباغة FANZA GOLD,140,12.5,15.63,,1750,2188.2000000000003
3362,INGELEC 10(50PCS) شوفي حبة,0,0.17,0.21,,0,0
3363,فشفاشة صباغة FANZA,87,10,18,,870,1566
3364,وانطيس gris venner,317,12.5,25,,3962.5,7925
3365,INGCO 50L 13.2 GAL COMPRESSEUR,0,1499.25,1875.06,,0,0
3366,INGCO 24L 6.3 GAL COMPRESSEUR,0,1124.25,1500,,0,0
3367,INGCO 6.0L 1.6 GAL COMPRESSEUR,3,816.75,1020.94,,2450.25,3062.82
3368,ACCESSOIRRES JADEVER COMPRESSEUR 5PCS,2,202.52,350.01,,405.04,700.02
3369,VEDAL 3.6*200 BL (100PCS) بريدة,2452,0.06,15,,147.12,36780
3370,VEDAL 3.6*300 BL (100PCS) بريدة,3187,0.09,20,,286.83,63740
3371,VEDAL 4.8*200 BL (100PCS) بريدة,2200,0.08,15,,176,33000
3372,VEDAL 4.8*300 BL (100PCS) بريدة,1942,0.1,20,,194.20000000000002,38840
3373,VEDAL 7.6*250 BL (100PCS) بريدة,373,0.24,35,,89.52,13055
3374,VEDAL 7.6*400 BL (100PCS) بريدة,1879,0.29,40,,544.91,75160
3375,VEDAL 3.6*200 NR (100PCS) بريدة,2100,0.06,15,,126,31500
3376,VEDAL 3.6*300 NR (100PCS) بريدة,854,0.09,18,,76.86,15372
3377,VEDAL 4.8*200 NR (100PCS) بريدة,1470,0.08,15,,117.60000000000001,22050
3378,VEDAL 4.8*300 NR (100PCS) بريدة,1588,0.1,20,,158.8,31760
3379,VEDAL 7.6*250 NR (100PCS) بريدة,1461,0.24,35,,350.64,51135
3380,VEDAL 7.6*400 NR (100PCS) بريدة,500,29,40,,14500,20000
3381,INTERPHONE 17 POSTE,0,3600,4500,,0,0
3382,DISJONCTEUR DE BRANCHEMENT 4FILS 30/60A GARDY,0,1550,1937.5,,0,0
3383,INTERRUPTEUR DIFFERENTIEL 4P 40A 30MA SCHNEIDER,0,580,725,,0,0
3384,BORNE-SUR-RAIL 16MM ONKA GRIS,0,10,12.5,,0,0
3385,COSSE-A-SERTIR-16MM T8,0,3.5,4.38,,0,0
3386,COFFRET-POMYSTER 400*315*160POLYBOX INGELEC,0,280,350,,0,0
3387,RAIL-DIN-SYMETRIQUE PERFOREE 35*7 5MM INGELEC,0,15,18.75,,0,0
3389,DISJONCTEUR-4P-40A C60,0,600,750,,0,0
3390,CABLE-U-1000-RO2V,0,145,181.25,,0,0
3391,SPOT RH-MH2 OTOMO,0,6.5,8.13,,0,0
3392,Barrette de connexion domino  (1PCSx2) 10mm,7,1.19,8.34,,8.33,58.379999999999995
3393,DIAMFLEX 400 MARBER SILENT ديسكو,0,650,900,,0,0
3394,DIAMFLEX 400 GRANIT SILENT BL ديسكو,0,650,900,,0,0
3395,DIAMFLEX 350 MARBER SILENT ديسكو,5,550,750,,2750,3750
3396,DIAMFLEX 350 GRANIT SILENT BL ديسكو,34,550,749.98,,18700,25499.32
3397,متر كومة خط 8 fuza,10,1.6,2,,16,20
3398,متر كومة خط 10 fuza,80,1.9,2.38,,152,190.39999999999998
3399,سرجوان حديد,0,0,0,,0,0
3400,بروكة حديد 4,0,2.2,2.75,,0,0
3401,متر 5 DINGQI 19mm orange noir,0,10,18,,0,0
3402,سباط DINGQI 42,0,120,150,,0,0
