id,designation,quantite,prix_achat,prix_vente,kg,valeur_cost,valeur_sale
1751,بروكة هيلتي ABC 14*410mm,6,16,35,,96,210
1752,بروكة هيلتي ABC 16*410mm,7,20,45,,140,315
1753,بروكة هيلتي ABC 18*410mm,0,27,50,,0,0
1754,بروكة هيلتي ABC 20*410mm,10,33.5,55,,335,550
1755,ركلة بميزان VITO 1.5m,0,140,250,,0,0
1756,كولا EPOXY blanc,73,340,500,,24820,36500
1757,كولا EPOXY gris,21,340,500,,7140,10500
1758,كولا EPOXY crema,19,340,500,,6460,9500
1759,كولا EPOXY noir,31,340,500,,10540,15500
1760,بريز انثى Fiche femelle 2P+T,0,6.5,8.13,,0,0
1761,بريز دكر Fiche femelle 2P+T,0,5.5,6.88,,0,0
1762,مصباحSUPERNOVA 9W  روشكة,3,7,8.75,,21,26.25
1763,مصباحSUPERNOVA 9W  مسمار,0,7,8.75,,0,0
1764,مصباحMOTA 9W  مسمار,1,6.5,8.13,,6.5,8.13
1765,مصباحMOTA 9W  روشكة,190,2.2,8.13,,418.00000000000006,1544.7
1766,مصباحSUPERNOVA 7W  روشكة,0,6,15,,0,0
1767,شوفي ميطاليك كرومي 10*90,95,2.3,4.18,,218.49999999999997,397.09999999999997
1768,مسمار ساروت 8*60,0,0.6,0.85,,0,0
1769,شوفي ميطاليك كرومي 12*140,0,5,8,,0,0
